"Index" "PNB" "SBI" "ICICI"
"2018-09-01" 410 387 429
"2018-09-02" 367 376 394
"2018-09-03" 318 363 380
"2018-09-04" 398 380 414
"2018-09-05" 378 459 439
"2018-09-06" 407 428 447
"2018-09-07" 375 423 364
"2018-09-08" 424 405 387
"2018-09-09" 401 409 405
"2018-09-10" 419 418 402
"2018-09-11" 371 407 387
"2018-09-12" 394 405 330
"2018-09-13" 411 429 392
"2018-09-14" 398 396 365
"2018-09-15" 450 408 401
"2018-09-16" 342 374 375
"2018-09-17" 423 448 397
"2018-09-18" 401 442 378
"2018-09-19" 429 346 388
"2018-09-20" 398 394 389
"2018-09-21" 318 417 440
"2018-09-22" 413 415 422
"2018-09-23" 394 423 394
"2018-09-24" 371 387 364
"2018-09-25" 381 364 432
"2018-09-26" 402 410 357
"2018-09-27" 474 354 365
"2018-09-28" 406 420 377
"2018-09-29" 371 422 371
"2018-09-30" 458 343 373
