"","gender","spl","grades","placement","age","experience"
"1","F","HR","B","Yes",23,3.52592236550229
"2","M","Marketing","C","Yes",26,4.04893379025421
"3","M","Finance","B","Yes",25,5.13236897522602
"4","M","HR","B","Yes",26,3.32466479459014
"5","F","Finance","B","Yes",30,3.44224269488393
"6","M","Marketing","B","Yes",27,3.09872639748663
"7","M","Finance","A","Yes",28,3.0338870821795
"8","M","HR","A","Yes",27,4.10138912322513
"9","M","HR","B","Yes",26,4.14805100013217
"10","M","Marketing","B","Yes",26,5.34137532936498
"11","F","HR","B","Yes",23,3.88950116802405
"12","F","HR","A","Yes",25,4.62935497658317
"13","M","Marketing","D","No",30,3.1984394984041
"14","F","HR","A","Yes",23,4.51687968148285
"15","M","Finance","C","No",26,3.90909171166708
"16","M","Finance","C","Yes",28,5.10010557872864
"17","M","Marketing","A","Yes",29,4.73238017567624
"18","F","Finance","A","Yes",26,4.47542561142615
"19","M","Marketing","B","Yes",24,4.12106008340066
"20","F","HR","C","Yes",28,3.58953834017025
"21","M","Finance","A","No",21,3.48436711381206
"22","M","HR","A","No",28,5.58016136654554
"23","M","Marketing","B","Yes",21,5.68992855276268
"24","M","Finance","D","Yes",26,3.56981528899076
"25","M","Finance","C","Yes",26,2.94552021251236
"26","F","HR","C","Yes",30,3.38175873331355
"27","M","HR","B","Yes",30,2.98288430994213
"28","F","HR","B","Yes",30,2.91936539741394
"29","F","Marketing","B","Yes",24,3.76747921080479
"30","M","HR","C","Yes",22,4.74808908736711
"31","M","Marketing","A","Yes",22,4.19852123201099
"32","M","Marketing","B","Yes",27,4.16560742798458
"33","M","Marketing","C","Yes",26,2.88308365731685
"34","M","Finance","B","Yes",27,2.46585079291525
"35","M","Marketing","B","Yes",26,2.71224063616456
"36","M","Marketing","C","Yes",23,5.18142535023749
"37","M","HR","B","Yes",30,3.16103266473984
"38","M","HR","B","Yes",29,5.26622185969485
"39","M","HR","C","Yes",21,3.20051455058319
"40","M","Marketing","C","Yes",29,1.42195397476934
"41","M","Finance","C","No",29,4.94953728699966
"42","M","Finance","B","Yes",22,4.05733222963315
"43","M","Finance","A","Yes",22,5.65697362164384
"44","F","HR","A","Yes",22,2.80963315561206
"45","M","Marketing","A","Yes",27,3.09142878139456
"46","M","HR","C","No",26,3.52680408512402
"47","F","Finance","C","Yes",30,2.73961544302068
"48","M","Marketing","B","Yes",28,3.96162281656825
"49","M","Marketing","C","Yes",29,3.7344996950596
"50","M","Finance","B","Yes",27,4.48054017351382
"51","M","HR","D","Yes",24,3.86257541835135
"52","M","Finance","B","Yes",27,2.66231471027607
"53","M","Marketing","A","No",26,5.06596803900427
"54","M","HR","B","Yes",24,3.10850288309795
"55","M","HR","B","Yes",26,4.47329153710644
"56","M","Marketing","C","No",24,5.15018951034588
"57","F","Marketing","C","Yes",24,4.54542301049926
"58","F","HR","C","Yes",26,2.19309431668111
"59","M","Finance","B","No",25,3.2959653511965
"60","F","Marketing","B","Yes",26,3.24650060709815
"61","M","HR","B","Yes",26,4.05186545427022
"62","M","Marketing","D","Yes",22,5.1110311858918
"63","M","Marketing","B","Yes",29,3.96008233817579
"64","M","Marketing","B","No",25,3.17825789006374
"65","F","HR","C","Yes",25,3.67829786239952
"66","M","Marketing","B","No",24,3.37059428276824
"67","M","Marketing","A","Yes",24,4.91865298828684
"68","M","Marketing","B","Yes",24,3.2894390466866
"69","M","Finance","A","Yes",27,3.34210217757852
"70","M","Marketing","C","Yes",26,4.18552727462197
"71","M","Marketing","B","Yes",27,5.24423901180958
"72","F","HR","D","Yes",27,4.93110996667348
"73","M","Finance","B","Yes",23,3.44384618833317
"74","F","Finance","B","No",29,4.72098543645189
"75","M","HR","C","Yes",24,4.79487857274396
"76","F","Finance","B","Yes",26,5.252416842619
"77","M","Marketing","A","Yes",27,4.36083071418201
"78","M","Marketing","B","Yes",23,6.67806252576294
"79","M","Marketing","B","Yes",24,3.48332960144003
"80","M","HR","B","Yes",30,3.80991849599386
"81","F","Marketing","C","Yes",24,3.19001909816729
"82","M","Finance","B","Yes",23,1.74731330911705
"83","M","Finance","C","Yes",23,4.67368570602812
"84","M","HR","A","Yes",27,4.92367383121972
"85","M","HR","B","Yes",28,3.39816101221913
"86","M","Finance","A","Yes",23,3.42846946974114
"87","M","Finance","A","Yes",28,3.41777717793201
"88","M","Marketing","C","Yes",30,4.72076388445706
"89","M","Finance","B","Yes",22,3.38243597165434
"90","M","Finance","C","Yes",23,3.89799750994545
"91","F","HR","C","Yes",22,3.84009649175993
"92","M","Marketing","C","Yes",26,4.2761476240282
"93","M","Finance","D","No",30,4.58251641140667
"94","M","HR","A","Yes",22,3.66816186708536
"95","M","Finance","A","Yes",24,2.65386429098004
"96","M","Marketing","C","Yes",25,3.14937679345873
"97","M","HR","B","Yes",30,4.0447854830035
"98","F","Finance","C","No",30,3.22061491388759
"99","M","Finance","C","Yes",27,4.45195783278834
"100","M","Finance","B","No",28,3.37289123096477
